"","name","pos","team","overallRank","positionRank","vor","projectedPts","upside","risk","projectedCost","adp","ADPdiff","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo"
"39","Matthew Stafford","QB","DET",39,4,40.5048155650928,313.500040807843,329.777638252534,4.6466729693561,106,47.1,8.1,4782.5,31.7500557278298,17.4999420181867,82,1.49993958226416,0,0,0,1,3.2499387894374,341.82,345.88,309.24,324.74,325.17,326.96,285.06,311.92,310.8,314.92,320,292.88,313.62,321.52
"40","Andrew Luck","QB","IND",40,5,39.6392020653367,312.634427308087,324.129032373264,4.3614034980355,78,51.4,11.4,4285.00000496626,26.9999916854046,12.0000575412527,318.35,2.99991216225188,0,0,0,0.7,2.99997753222042,330.58,311.16,299.34,311.86,313.61,331,306.1,317.72,320.8,313.9,318,290.8,328,306.64
"41","Larry Fitzgerald","WR","ARI",41,13,38.1716937618469,156.671330420978,171.723219858554,4.9615043201247,173,33.7,-7.3,0,0,0,7.21330420977499,0,83.0000144139168,1045.5,8.5,0.2,0,175.1,164.1,154.8,NA,162.33,159.5,146.4,137.7,140,150.4,148,137.6,188.2,164.99
"42","Keenan Allen","WR","SD",42,14,38.0198279339788,156.519464593109,162.474345805729,2.8449124072105,207,30.1,-11.9,0,0,0,0,0,76.4999939153995,1105.2,7.99992426346062,0,1.00004049382716,161.3,154.9,152.5,NA,157.54,164.2,160.9,152,148,152.5,168,155.4,165.4,158.7
"43","Rob Gronkowski","TE","NE",43,3,36.549954873253,145.050124272624,166.105950604722,5.58194667880007,87,46.4,3.4,0,0,0,0,0,66.4999748781593,913.499947855284,8.9500215811826,0,0,161.4,156.3,135.6,135.6,142.37,164.1,99.7,176.4,148,128.8,155,107.8,147.3,151.9
"44","Frank Gore","RB","SF",44,22,36.1000495670045,156.049909275947,171.866816166668,4.94558301588606,71,59.6,15.6,0,0,0,1008,7.50000577858392,16.0999386161499,139.5,0,0,1.85006269777832,173.1,149.1,173.3,NA,166.28,200.2,174.8,143.9,147.5,147.1,158,150.2,162.3,167.7
"45","Chris Johnson","RB","NYJ",45,23,36.0499483912428,155.999808100185,172.357729806933,5.59894227375995,35,83.5,38.5,0,0,0,933.000039313266,5.15003146947475,36.0000188323224,273,1.49994710928384,0,2.25003365184648,170,151.1,161.2,NA,164.95,180,181.9,147.5,141,139.2,183,184,167.4,148.3
"46","Ben Tate","RB","CLE",46,24,34.6979273485974,154.64778705754,172.102890638603,5.37650578281502,34,92.3,46.3,0,0,0,957.000076081338,6.50005394273758,28.4999668109177,198.35,1.00001000957414,0,2.94380213223217,174.7,142.9,180.9,NA,159.9,178.6,142.2,131.4,145,146.6,155.5,180.5,178.9,154.2
"47","Robert Griffin III","QB","WAS",47,6,33.6347414480156,306.629966690765,317.888771218095,4.34679218467814,51,60.8,13.8,3829.5,23.5000072423023,13.0000274835491,551.5,3.5,0,0,0,1.15,3.00001739744736,322.32,312,306.86,317.3,313.044,296.96,306.88,312.44,311.7,297.68,330.6,285.66,317.88,310.86
"48","Cam Newton","QB","CAR",48,7,33.584506717167,306.579731959917,318.577342901587,5.41142635828051,81,51.3,3.3,3507,22.0000226274237,13.9999909616697,596,5.99996452563529,0,0,0,0.6,2.25007737096003,321.54,303.1,311.3,311.84,313.292,319.36,318.2,308.7,299.4,313.48,324.9,288.76,324.66,287.46
"49","Pierre Garcon","WR","WAS",49,15,33.4687342370591,151.96837089619,162.932568400936,3.65397278834343,117,39.2,-9.8,0,0,0,13.1834003743773,0,92.0500145564584,1162.5,6.00001555246071,0,0.800031228006166,169.7,156.3,150.8,NA,156.93,160.2,142,147.7,157.5,153,148.5,131.2,173.6,155.55
"50","Joique Bell","RB","DET",50,25,33.3896465577526,153.339506266695,166.929706544459,4.77083181172968,42,92,42,0,0,0,714.25,6.15000230156548,45.0000527308849,410.15,1.49993389891009,0,2.50005546807922,179,157.2,164.9,NA,167.88,139.8,170.2,164.8,167,148.3,145,186.6,152,152.2
"51","Victor Cruz","WR","NYG",51,16,33.2001131489614,151.699749808092,164.177066868488,4.25991300453761,115,38.7,-12.3,0,0,0,0,0,81.9999526944437,1117,6.99995830134866,0,1,154.3,145.1,146.2,NA,149.98,177.9,154.6,149.6,135,141.6,168,158.5,172.2,146.3
"52","Cordarrelle Patterson","WR","MIN",52,17,32.1004322151553,150.600068874286,163.951628084106,4.5438237156983,83,45,-7,0,0,0,116.999964726222,1.14997291078158,70.5000536429121,930,6.50003915616236,0,0,131.5,135.9,139.8,NA,150.63,176.6,159.6,139.5,142,136,148.5,134.5,164.8,146.6
"53","Nick Foles","QB","PHI",53,8,30.6245345230936,303.619759765843,316.010592208233,4.70469575352054,51,68.8,15.8,4155.5,29.1999377731728,11.5000788931334,241.999996142146,2.0500146586785,0,0,0,0.8,3,311.54,336.5,297.06,315,316.484,323.3,313.3,314.5,301.8,303.82,295.1,292.22,312.94,324.86
"54","Ray Rice","RB","BAL",54,26,29.9602400539419,149.910099762884,170.385108169006,6.41918131723597,32,94.5,40.5,0,0,0,779,5.50004206382512,48.200059851276,338.099950720503,1.49999855072554,0.1,2.00006949823502,173.3,158.5,157.7,NA,167.54,163.8,182.3,137.4,126.5,138.5,120,150.1,180.6,133.9
"55","Shane Vereen","RB","NE",55,27,28.4005841058747,148.350443814817,166.816105848954,5.4518703143096,43,88.8,33.8,0,0,0,523.5,3.00003158840465,65.5500030178495,600,3.50001978136698,0,1.49993220190638,184.6,148.9,148.3,NA,158.89,112.5,145.9,143.5,144,141.7,154.5,170.3,178.8,161
"56","Colin Kaepernick","QB","SF",56,9,28.3545666417539,301.349791884504,324.865019313873,6.35574989031622,28,95.4,39.4,3575,24.5000056117993,10.0000325333418,491.5,3.99996855874618,0,0,0,0.6,2.00000469091435,338.14,348.34,283.52,318.04,321.892,331.38,296.22,295,295.1,291.94,299.9,264.7,317.84,285.98
"57","Michael Crabtree","WR","SF",57,18,27.8369885326654,146.336625191796,164.204454971197,5.92030091659445,74,44.1,-12.9,0,0,0,8.36530004065925,0,76.9500499413787,1055,7.00001586462168,0,1,168.6,170.5,141.5,NA,160.71,163.7,151.6,124.4,130,141.5,152,128.6,176,129.2
